week_start,OEE_Score,DelayRate,Revenue,OrderVolume,is_interpolated_oee,is_interpolated_delay,is_filled_delay
2018-01-29,0.8266367912622354,0.0,430868402.63541865,3.0,0,0,0
2018-02-05,0.8458656173900991,0.0,446059239.51940584,3.0,0,0,1
2018-02-12,0.8519229850850072,0.0,460569318.26137763,3.0,0,0,1
2018-02-19,0.8524815705026728,0.0,467023416.4760066,3.0,0,0,1
2018-02-26,0.8565916257753803,0.0,485647562.82610637,3.0,0,0,1
2018-03-12,0.8282570324375957,1.0,521494100.8419443,1.0,0,0,0
2018-03-19,0.791197485677199,1.0,524694680.08961546,1.0,0,0,1
2018-03-26,0.7673772171074332,1.0,527161932.81103474,1.0,0,0,1
2018-04-02,0.7445644130421961,1.0,522195030.4177921,1.0,0,0,1
2018-04-09,0.7060351622061005,1.0,506448937.0843895,1.0,0,0,1
2018-04-23,0.6729678339270259,1.0,499894949.20818853,1.0,0,0,0
2018-04-30,0.65,1.0,473911935.2846554,1.0,0,0,1
2018-05-07,0.65,1.0,454139360.3537245,1.0,0,0,1
2018-05-14,0.65,1.0,443108337.7371454,1.0,0,0,1
2018-05-21,0.65,1.0,427276476.43104994,1.0,0,0,1
2018-05-28,0.65,0.0,418062075.24304956,1.0,0,0,0
2018-06-04,0.65,0.0,414940162.8611402,1.0,0,0,1
2018-06-11,0.6885050261512109,0.0,429384349.9878572,1.0,0,0,1
2018-06-18,0.7070042317116809,0.0,437916935.57582706,1.0,0,0,1
2018-06-25,0.7091056192186912,0.0,459581707.6782751,1.0,0,0,1
2018-08-13,0.7038362070392742,0.0,450030829.1892294,1.0,0,0,0
2018-08-20,0.6786754570731706,1.0,459718736.4855624,1.0,0,0,0
2018-08-27,0.65,1.0,444339183.98029494,1.0,0,0,1
2018-09-03,0.65,1.0,428121843.79844266,1.0,0,0,1
2018-09-10,0.65,1.0,401600980.147517,1.0,0,0,1
2018-09-17,0.65,1.0,376543548.4980994,1.0,0,0,1
2018-09-24,0.65,0.0,362143823.87475854,1.0,0,0,0
2018-10-01,0.65,0.5,349194196.38980794,2.0,0,0,0
2018-10-08,0.65,0.5,343471411.7769982,2.0,0,0,1
2018-10-15,0.65,0.5,333599828.798605,2.0,0,0,1
2018-10-22,0.65,0.5,322643904.8710144,2.0,0,0,1
2018-10-29,0.65,0.5,314525348.03456146,2.0,0,0,1
2018-12-31,0.65,0.21428571428571427,293053947.9979148,14.0,0,0,0
2019-01-07,0.65,0.375,292436113.81819946,8.0,0,0,0
2019-01-14,0.65,0.3,290708336.3867993,10.0,0,0,0
2019-01-21,0.65,0.5789473684210527,297256303.9521698,19.0,0,0,0
2019-01-28,0.65,0.3333333333333333,298286494.5317433,12.0,0,0,0
2019-02-04,0.65,0.6,305261028.165401,15.0,0,0,0
2019-02-11,0.65,0.38461538461538464,306879010.27841896,13.0,0,0,0
2019-02-18,0.65,0.5555555555555556,311244359.678157,18.0,0,0,0
2019-02-25,0.65,0.5,315099540.3756209,14.0,0,0,0
2019-03-04,0.65,0.4117647058823529,314493684.7942115,17.0,0,0,0
2019-03-11,0.65,0.5,318570131.7017663,6.0,0,0,0
2019-03-18,0.65,0.7368421052631579,327976791.04304624,19.0,0,0,0
2019-03-25,0.65,0.38461538461538464,331126446.45106214,13.0,0,0,0
2019-04-01,0.65,0.55,336578267.44144934,20.0,0,0,0
2019-04-08,0.65,0.5555555555555556,340637145.5886985,18.0,0,0,0
2019-04-15,0.65,0.42105263157894735,344228291.70689625,19.0,0,0,0
2019-04-22,0.65,0.6470588235294118,346624436.29773605,17.0,0,0,0
2019-04-29,0.65,0.6363636363636364,349229214.23950076,11.0,0,0,0
2019-05-06,0.65,0.6153846153846154,351867861.29489285,13.0,0,0,0
2019-05-13,0.65,0.5555555555555556,344418919.18644553,18.0,0,0,0
2019-05-20,0.65,0.5789473684210527,343102411.8940525,19.0,0,0,0
2019-05-27,0.65,0.75,339071744.60598326,12.0,0,0,0
2019-06-03,0.65,0.5555555555555556,333621303.26692986,18.0,0,0,0
2019-06-10,0.65,0.42857142857142855,334955917.3023055,14.0,0,0,0
2019-06-17,0.65,0.5263157894736842,327993311.8198911,19.0,0,0,0
2019-06-24,0.65,0.2857142857142857,319931905.9857944,14.0,0,0,0
2019-07-01,0.65,0.6153846153846154,320380813.0307775,13.0,0,0,0
2019-07-08,0.65,0.38461538461538464,311788826.66588956,13.0,0,0,0
2019-07-15,0.65,0.5625,300890707.2662959,16.0,0,0,0
2019-07-22,0.65,0.5925925925925926,298577547.66276145,27.0,0,0,0
2019-07-29,0.65,0.6428571428571429,292388393.41496307,14.0,0,0,0
2019-08-05,0.65,0.5294117647058824,286314410.4788429,17.0,0,0,0
2019-08-12,0.65,0.4,277167911.75049996,20.0,0,0,0
2019-08-19,0.65,0.75,264657068.0096318,8.0,0,0,0
2019-08-26,0.65,0.5,253205662.03345862,16.0,0,0,0
2019-09-02,0.65,0.75,244208231.75479832,8.0,0,0,0
2019-09-09,0.65,0.8333333333333334,230939832.74469367,12.0,0,0,0
2019-09-16,0.65,0.7857142857142857,221742646.0367117,14.0,0,0,0
2019-09-23,0.65,0.7142857142857143,210278170.74386683,14.0,0,0,0
2019-09-30,0.65,0.5238095238095238,201265945.93869328,21.0,0,0,0
2019-10-07,0.65,0.625,193409702.8571913,16.0,0,0,0
2019-10-14,0.65,0.6666666666666666,187004535.15759254,15.0,0,0,0
2019-10-21,0.65,0.5909090909090909,181618075.13396645,22.0,0,0,0
2019-10-28,0.65,0.3076923076923077,175406067.03802165,13.0,0,0,0
2019-11-04,0.65,0.32,171592921.40687248,25.0,0,0,0
2019-11-11,0.65,0.7058823529411765,168453552.81913358,17.0,0,0,0
2019-11-18,0.65,0.8461538461538461,159870244.9877657,13.0,0,0,0
2019-11-25,0.65,0.5,157072331.62720117,12.0,0,0,0
2019-12-02,0.65,0.4,153360385.78062272,15.0,0,0,0
2019-12-09,0.65,0.6,150916412.15059367,15.0,0,0,0
