OrderNo,IsDelayed,ActualEndDate,PlannedShipmentDate
ORD001,1,2026-06-01 08:30:00,2026-05-28
ORD002,0,2026-06-02 14:00:00,2026-05-30
ORD003,1,2026-06-03 10:15:00,2026-06-01
ORD006,0,2026-06-15 11:00:00,2026-06-12
ORD007,1,2026-06-16 22:45:00,2026-06-14
ORD008,0,2026-06-17 01:15:00,2026-06-15
ORD016,1,2026-07-13 08:00:00,2026-07-11
ORD017,0,2026-07-14 09:00:00,2026-07-12
ORD018,1,2026-07-15 10:00:00,2026-07-13
ORD019,0,2026-07-16 11:00:00,2026-07-14
ORD020,1,2026-07-17 12:00:00,2026-07-15
ORD021,0,2026-08-03 08:30:00,2026-08-01
ORD022,1,2026-08-04 10:00:00,2026-08-02
ORD023,0,2026-08-10 09:00:00,2026-08-08
ORD024,0,2026-08-11 14:00:00,2026-08-09
ORD025,1,2026-08-12 16:00:00,2026-08-10
ORD026,0,2026-08-17 08:00:00,2026-08-15
ORD027,1,2026-08-18 10:30:00,2026-08-16
ORD028,0,2026-08-19 14:00:00,2026-08-17
ORD029,0,,2026-08-20
