OrderNo,OEE_Score,RealQty,PlanQty,ActualEndDate,PlannedShipmentDate
ORD001,0.85,5000,5500,2026-06-01 08:30:00,2026-05-28
ORD002,0.78,3000,3200,2026-06-02 14:00:00,2026-05-30
ORD003,0.92,8000,8500,2026-06-03 10:15:00,2026-06-01
ORD004,0.88,2000,2200,2026-06-08 09:00:00,2026-06-05
ORD005,0.75,6000,6500,2026-06-09 16:30:00,2026-06-07
ORD006,0.9,4000,4200,2026-06-15 11:00:00,2026-06-12
ORD007,0.82,7000,7500,2026-06-16 22:45:00,2026-06-14
ORD008,0.79,1500,1800,2026-06-17 01:15:00,2026-06-15
ORD009,0.95,9000,9500,2026-06-22 08:00:00,2026-06-20
ORD010,0.7,3500,3800,2026-06-23 15:00:00,2026-06-21
ORD011,0.88,5500,6000,2026-06-29 09:30:00,2026-06-27
ORD012,0.83,4500,5000,2026-06-30 13:45:00,2026-06-28
ORD013,0.91,6500,7000,2026-07-06 10:00:00,2026-07-04
ORD014,0.76,2500,2800,2026-07-07 14:30:00,2026-07-05
ORD015,0.84,7500,8000,2026-07-08 16:00:00,2026-07-06
ORD016,0.87,0,5000,2026-07-13 08:00:00,2026-07-11
ORD017,0.8,0,4000,2026-07-14 09:00:00,2026-07-12
ORD018,0.93,0,6000,2026-07-15 10:00:00,2026-07-13
ORD019,0.72,0,3000,2026-07-16 11:00:00,2026-07-14
ORD020,0.86,0,7000,2026-07-17 12:00:00,2026-07-15
ORD021,0.89,8000,8500,2026-08-03 08:30:00,2026-08-01
ORD022,0.77,3000,3200,2026-08-04 10:00:00,2026-08-02
ORD023,0.94,5000,5500,2026-08-10 09:00:00,2026-08-08
ORD024,0.81,4000,4200,2026-08-11 14:00:00,2026-08-09
ORD025,0.73,6000,6500,2026-08-12 16:00:00,2026-08-10
ORD026,0.85,7000,7500,2026-08-17 08:00:00,2026-08-15
ORD027,0.9,2000,2200,2026-08-18 10:30:00,2026-08-16
ORD028,0.88,3500,3800,2026-08-19 14:00:00,2026-08-17
ORD003,0.96,8500,8500,2026-06-03 23:50:00,2026-06-01
ORD029,0.8,4000,4200,,2026-08-20
ORD030,,5000,5500,2026-06-01 12:00:00,2026-05-29
