OrderNo,Revenue,ShipmentDate
ORD001,125000,2026-06-03 10:00:00
ORD002,89000,2026-06-04 14:30:00
ORD003,210000,2026-06-05 09:00:00
ORD004,67000,2026-06-10 11:00:00
ORD005,155000,2026-06-11 15:00:00
ORD006,98000,2026-06-17 08:30:00
ORD007,178000,2026-06-18 23:15:00
ORD008,45000,2026-06-19 00:30:00
ORD009,230000,2026-06-24 09:00:00
ORD010,92000,2026-06-25 14:00:00
ORD011,143000,2026-07-01 10:30:00
ORD012,112000,2026-07-02 13:00:00
ORD013,167000,2026-07-08 09:00:00
ORD014,78000,2026-07-09 15:30:00
ORD015,195000,2026-07-10 11:00:00
ORD021,205000,2026-08-05 08:00:00
ORD022,85000,2026-08-06 10:00:00
ORD023,134000,2026-08-12 09:30:00
ORD024,99000,2026-08-13 14:00:00
ORD025,162000,2026-08-14 16:00:00
ORD026,188000,2026-08-19 08:00:00
ORD027,56000,2026-08-20 10:30:00
ORD028,91000,2026-08-21 14:00:00
